Date (GMT),"EUR1MO, implied Vol","EUR1MVHF=R,",Open,High,Low,Last,Log ret(%),integrated vol
4/21/2014 2:00,5.525,5.0693,1.3808,1.381,1.3803,1.381,,
4/21/2014 5:00,5.563,5.0694,1.381,1.3817,1.3809,1.3815,0.036199095,0.001310374
4/21/2014 6:00,5.537,5.0713,1.3816,1.3819,1.3814,1.3817,0.01447597,0.000211271
4/21/2014 7:00,5.55,5.0715,1.3817,1.3824,1.3814,1.3824,0.050649399,0.002565406
4/21/2014 8:00,5.575,5.0746,1.3824,1.3827,1.3818,1.3823,-0.007234058,5.89E-05
4/21/2014 12:00,5.637,5.0782,1.3818,1.3819,1.3808,1.3811,-0.086849539,0.007542846
4/21/2014 17:00,5.688,5.1024,1.3789,1.3793,1.3786,1.3791,-0.14491706,0.021057849
4/21/2014 19:00,5.75,5.1026,1.3792,1.3796,1.3788,1.3796,0.036248958,0.00175742
4/21/2014 20:00,5.713,5.1038,1.3795,1.3796,1.3789,1.3792,-0.028998115,0.000843979
4/21/2014 21:00,5.675,5.1048,1.3793,1.3795,1.379,1.3791,-0.007250843,5.33E-05
4/21/2014 22:00,5.688,5.105,1.3792,1.3795,1.379,1.3794,0.021750952,0.000473107
4/21/2014 23:00,5.7,5.105,1.3793,1.3795,1.3787,1.3789,-0.036254215,0.001314592
4/22/2014 0:00,5.75,5.1056,1.3789,1.3794,1.3788,1.3791,0.014503263,0.000210345
4/22/2014 2:00,5.75,5.1057,1.379,1.3795,1.3788,1.3792,0.007250843,5.26E-05
4/22/2014 3:00,5.75,5.1059,1.3792,1.3796,1.3791,1.3795,0.021749375,0.000473038
4/22/2014 6:00,5.75,5.1066,1.3794,1.3796,1.3791,1.3796,0.007248741,5.28E-05
4/22/2014 7:00,5.775,5.1066,1.3795,1.3805,1.3783,1.3804,0.057971016,0.003360641
4/22/2014 8:00,5.775,5.1117,1.3805,1.3805,1.3793,1.3803,-0.007244539,6.38E-05
4/22/2014 9:00,5.725,5.1117,1.3802,1.381,1.3798,1.3806,0.021732044,0.000472286
4/22/2014 10:00,5.7,5.1127,1.3807,1.3809,1.3798,1.3805,-0.00724349,5.27E-05
4/22/2014 11:00,5.65,5.1131,1.3804,1.3821,1.3803,1.3815,0.072411299,0.005243399
4/22/2014 12:00,5.673,5.12,1.3816,1.382,1.381,1.3814,-0.007238771,7.99E-05
4/22/2014 13:00,5.625,5.1201,1.3813,1.3824,1.3811,1.3819,0.036188615,0.001309622
4/22/2014 14:00,5.577,5.1216,1.3818,1.382,1.3809,1.381,-0.06514894,0.004246099
4/22/2014 15:00,5.563,5.1272,1.381,1.3816,1.3788,1.3795,-0.108675975,0.011828497
4/22/2014 16:00,5.563,5.1412,1.3794,1.3804,1.3789,1.3802,0.050730153,0.002713462
4/22/2014 17:00,5.525,5.1447,1.3803,1.3805,1.3795,1.3799,-0.021738343,0.000479918
4/22/2014 18:00,5.55,5.1453,1.3799,1.3801,1.3794,1.38,0.007246639,5.27E-05
4/22/2014 19:00,5.525,5.1454,1.38,1.3806,1.3798,1.38,0,2.78E-09
4/22/2014 20:00,5.512,5.1424,1.3801,1.3806,1.38,1.3804,0.028981307,0.000839916
4/22/2014 22:00,5.537,5.1428,1.3804,1.3806,1.3802,1.3803,-0.007244539,5.32E-05
4/22/2014 23:00,5.5,5.1424,1.3803,1.3808,1.3803,1.3807,0.028975009,0.000839554
4/23/2014 0:00,5.575,5.1358,1.3807,1.3809,1.3804,1.3806,-0.007242965,5.25E-05
4/23/2014 2:00,5.6,5.1332,1.3803,1.381,1.3799,1.3807,0.007242965,5.25E-05
4/23/2014 6:00,5.588,5.1342,1.3815,1.3818,1.3813,1.3816,0.065163091,0.004246231
4/23/2014 7:00,5.55,5.1327,1.3817,1.3836,1.3815,1.3823,0.050653064,0.002583763
4/23/2014 8:00,5.55,5.1315,1.3823,1.3823,1.3799,1.382,-0.021705314,0.000477796
4/23/2014 9:00,5.55,5.1318,1.3819,1.3854,1.3819,1.3846,0.187956392,0.035327834
4/23/2014 10:00,5.525,5.1703,1.3847,1.385,1.3837,1.3838,-0.057795118,0.004588331
4/23/2014 11:00,5.525,5.1376,1.3837,1.3844,1.3834,1.3844,0.04334947,0.001900229
4/23/2014 12:00,5.512,5.1386,1.3845,1.3845,1.3832,1.3838,-0.04334947,0.001882787
4/23/2014 13:00,5.5,5.1314,1.3837,1.3841,1.3831,1.384,0.014451911,0.000212403
4/23/2014 14:00,5.5,5.124,1.3839,1.3841,1.3822,1.3829,-0.079511371,0.006322103
4/23/2014 15:00,5.475,5.1327,1.3828,1.3845,1.3817,1.3828,-0.007231442,9.23E-05
4/23/2014 16:00,5.45,5.1327,1.3828,1.3829,1.381,1.3813,-0.108534434,0.011779732
4/23/2014 17:00,5.475,5.1431,1.3812,1.3822,1.3812,1.3817,0.028954036,0.000977098
4/23/2014 19:00,5.438,4.6709,1.3813,1.3817,1.3812,1.3813,-0.028954036,0.000839291
4/23/2014 20:00,5.438,4.5965,1.3815,1.3818,1.3813,1.3814,0.007239295,5.31E-05
4/23/2014 21:00,5.425,4.5963,1.3816,1.3817,1.3813,1.3816,0.014477018,0.000209587
